epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5097,2.22105,9.33916,1.46883,0.9666,0.27047,0.43976,0.18696,2.12842,6.44887,1.478,0.000395918,0.000395918,0.000395918
2,72.0889,2.06246,6.19962,1.48229,0.68019,0.48598,0.56014,0.2316,2.00958,5.00443,1.504,0.000795897,0.000795897,0.000795897
3,104.226,2.06884,5.42488,1.42849,0.61675,0.51402,0.52121,0.18826,2.11371,3.36762,1.59417,0.00119579,0.00119579,0.00119579
4,135.945,2.0112,4.63527,1.46669,0.79222,0.58879,0.60951,0.2354,1.88756,2.54883,1.43452,0.00159553,0.00159553,0.00159553
5,167.692,1.91273,3.78893,1.39303,0.81133,0.64303,0.71808,0.28023,1.88476,2.15175,1.46592,0.00199505,0.00199505,0.00199505
6,199.107,1.84093,2.94567,1.40598,0.86839,0.69159,0.75677,0.341,1.82081,1.89952,1.45887,0.00199864,0.00199864,0.00199864
7,230.616,1.94085,2.72903,1.45512,0.78057,0.59841,0.70978,0.29592,1.88682,1.69397,1.53519,0.00199805,0.00199805,0.00199805
8,261.839,1.91472,2.38254,1.43541,0.65468,0.66355,0.68161,0.28124,1.94341,1.65348,1.52592,0.00199734,0.00199734,0.00199734
9,292.737,1.87585,2.01108,1.44779,0.7914,0.71028,0.73364,0.30218,1.87832,1.77887,1.5303,0.00199653,0.00199653,0.00199653
10,322.553,1.9124,2.02254,1.43616,0.68282,0.6729,0.67626,0.2987,1.88439,1.45814,1.5296,0.00199561,0.00199561,0.00199561
11,353.104,1.82003,1.69657,1.40973,0.79214,0.68224,0.73043,0.30946,1.808,1.45009,1.49773,0.00199458,0.00199458,0.00199458
12,384.075,1.81376,1.62928,1.42489,0.8481,0.73054,0.79278,0.36832,1.74369,1.28906,1.46861,0.00199344,0.00199344,0.00199344
13,415.171,1.82987,1.61076,1.40133,0.74187,0.72526,0.75253,0.33713,1.85003,1.31742,1.46385,0.00199219,0.00199219,0.00199219
14,445.806,1.81224,1.53625,1.34462,0.84417,0.71028,0.76474,0.34574,1.8224,1.34636,1.49371,0.00199084,0.00199084,0.00199084
15,476.583,1.80505,1.5488,1.37048,0.79995,0.65421,0.75615,0.33487,1.74422,1.37215,1.43356,0.00198938,0.00198938,0.00198938
16,506.855,1.74325,1.41119,1.36747,0.82554,0.65421,0.75356,0.32087,1.78381,1.35242,1.45835,0.00198781,0.00198781,0.00198781
17,537.446,1.79418,1.36835,1.39131,0.81473,0.71963,0.8012,0.3247,1.85314,1.27123,1.51427,0.00198614,0.00198614,0.00198614
18,567.265,1.78546,1.31576,1.37557,0.84988,0.73832,0.83436,0.36898,1.81965,1.16875,1.46372,0.00198435,0.00198435,0.00198435
19,597.608,1.73744,1.27742,1.36889,0.81892,0.75701,0.80774,0.37129,1.79748,1.1697,1.51932,0.00198246,0.00198246,0.00198246
20,628.848,1.73837,1.3202,1.38296,0.78397,0.65421,0.74728,0.33156,1.79761,1.32056,1.44871,0.00198047,0.00198047,0.00198047
21,659.654,1.67335,1.25007,1.35211,0.89401,0.76636,0.86419,0.40504,1.76528,1.0981,1.50713,0.00197837,0.00197837,0.00197837
22,690.81,1.73183,1.2462,1.35637,0.88622,0.72897,0.81096,0.35976,1.85245,1.20464,1.54095,0.00197616,0.00197616,0.00197616
23,721.736,1.71922,1.16834,1.36434,0.85813,0.73489,0.78958,0.38077,1.78518,1.2539,1.47703,0.00197384,0.00197384,0.00197384
24,751.926,1.70649,1.32482,1.36314,0.88227,0.76636,0.85253,0.40961,1.73771,1.10828,1.43619,0.00197142,0.00197142,0.00197142
25,782.756,1.66967,1.20549,1.36062,0.93075,0.7757,0.87719,0.41223,1.76381,1.10878,1.48994,0.0019689,0.0019689,0.0019689
26,813.088,1.68542,1.18623,1.33897,0.94145,0.7514,0.86595,0.41502,1.76728,1.04902,1.47484,0.00196627,0.00196627,0.00196627
27,844.06,1.69032,1.16205,1.34308,0.90737,0.7757,0.85507,0.40577,1.76228,1.12556,1.48905,0.00196353,0.00196353,0.00196353
28,874.997,1.66261,1.20733,1.375,0.85598,0.7757,0.85,0.39389,1.72464,1.10309,1.45214,0.00196069,0.00196069,0.00196069
29,905.752,1.72338,1.23126,1.33863,0.82295,0.7757,0.83953,0.39702,1.76924,1.09995,1.5291,0.00195775,0.00195775,0.00195775
30,936.557,1.73895,1.18898,1.3441,0.81066,0.74766,0.77472,0.34549,1.8181,1.20862,1.5537,0.0019547,0.0019547,0.0019547
