epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9061,0.27668,8.10904,1.98335,0.0018,0.56075,0.11037,0.03905,0.18386,6.58791,1.41612,0.000391837,0.000391837,0.000391837
2,27.8676,0.23601,5.27804,1.58799,0.81753,0.36449,0.53272,0.20607,0.21585,5.59024,1.5426,0.000791815,0.000791815,0.000791815
3,40.7638,0.2397,4.37466,1.57131,0.77619,0.5514,0.61171,0.24874,0.24881,4.42713,1.67162,0.00119171,0.00119171,0.00119171
4,53.4755,0.24928,4.13772,1.60969,0.81875,0.61682,0.6804,0.28267,0.23515,2.35354,1.53278,0.00159145,0.00159145,0.00159145
5,66.075,0.23104,3.15678,1.49873,0.75385,0.64486,0.68637,0.26597,0.26626,2.13973,1.66846,0.00199097,0.00199097,0.00199097
6,77.7591,0.24003,2.938,1.52358,0.81701,0.68224,0.72939,0.32085,0.24834,1.97461,1.6027,0.00199864,0.00199864,0.00199864
7,89.4896,0.23907,2.70013,1.53487,0.70427,0.73832,0.70588,0.29073,0.25273,2.01803,1.6722,0.00199805,0.00199805,0.00199805
8,101.031,0.22568,2.25678,1.45746,0.83096,0.59726,0.58243,0.20645,0.27924,1.94173,1.94317,0.00199734,0.00199734,0.00199734
9,112.665,0.24409,2.06371,1.54514,0.83077,0.7341,0.70657,0.27322,0.27353,1.44207,1.67451,0.00199653,0.00199653,0.00199653
10,124.36,0.21871,1.76143,1.40845,0.39162,0.64486,0.40069,0.155,0.25307,1.63461,1.68564,0.00199561,0.00199561,0.00199561
11,136.015,0.22099,1.73701,1.4427,0.78294,0.72897,0.75879,0.32972,0.24638,1.34737,1.60311,0.00199458,0.00199458,0.00199458
12,147.809,0.2266,1.62372,1.47704,0.86449,0.69159,0.79769,0.35183,0.25204,1.40565,1.56209,0.00199344,0.00199344,0.00199344
13,159.404,0.22724,1.55992,1.47065,0.81361,0.71963,0.7544,0.28032,0.25989,1.3288,1.57648,0.00199219,0.00199219,0.00199219
14,170.981,0.21646,1.47003,1.42519,0.76778,0.79439,0.72806,0.30745,0.24069,1.24326,1.56054,0.00199084,0.00199084,0.00199084
15,182.604,0.22239,1.369,1.44951,0.71319,0.81339,0.74725,0.29638,0.25705,1.47214,1.66201,0.00198938,0.00198938,0.00198938
16,194.253,0.22494,1.3942,1.43816,0.80538,0.76636,0.76557,0.30646,0.24128,1.25588,1.62608,0.00198781,0.00198781,0.00198781
17,205.889,0.22364,1.26186,1.44555,0.82628,0.80016,0.78694,0.35808,0.24966,1.22636,1.55174,0.00198614,0.00198614,0.00198614
18,217.498,0.21787,1.31216,1.40698,0.86293,0.75701,0.84847,0.34818,0.23724,1.18799,1.51724,0.00198435,0.00198435,0.00198435
19,229.325,0.21814,1.29507,1.4022,0.94361,0.79439,0.8635,0.35985,0.24128,1.16273,1.5118,0.00198246,0.00198246,0.00198246
20,240.933,0.22023,1.29772,1.413,0.93604,0.82063,0.8848,0.4007,0.24299,1.17792,1.5374,0.00198047,0.00198047,0.00198047
21,252.572,0.20884,1.21545,1.36004,0.80659,0.73832,0.76823,0.33636,0.2475,1.33273,1.57036,0.00197837,0.00197837,0.00197837
22,264.171,0.21347,1.21422,1.38202,0.78157,0.7757,0.76445,0.29544,0.25076,1.27057,1.66469,0.00197616,0.00197616,0.00197616
23,275.723,0.21262,1.19942,1.38982,0.67249,0.76761,0.68739,0.27325,0.23916,1.25244,1.60636,0.00197384,0.00197384,0.00197384
24,287.259,0.21986,1.21075,1.39247,0.84162,0.79463,0.79444,0.33641,0.23524,1.28145,1.58174,0.00197142,0.00197142,0.00197142
25,298.784,0.20938,1.18446,1.35716,0.85349,0.74766,0.80002,0.34067,0.25005,1.20892,1.70053,0.0019689,0.0019689,0.0019689
26,310.408,0.21035,1.11743,1.35783,0.8667,0.85047,0.86969,0.38827,0.23398,1.15118,1.55523,0.00196627,0.00196627,0.00196627
27,321.922,0.20813,1.07161,1.3577,0.76804,0.8355,0.81189,0.36178,0.24694,1.19384,1.54225,0.00196353,0.00196353,0.00196353
28,333.412,0.21013,1.09149,1.35168,0.89512,0.79439,0.84555,0.37057,0.24276,1.18841,1.55337,0.00196069,0.00196069,0.00196069
29,344.908,0.20565,1.09618,1.36713,0.87861,0.78505,0.81845,0.35243,0.24542,1.1955,1.55285,0.00195775,0.00195775,0.00195775
30,356.267,0.21042,1.06887,1.37534,0.92249,0.82243,0.88956,0.39199,0.23838,1.09511,1.60458,0.0019547,0.0019547,0.0019547
31,367.751,0.1989,1.07038,1.3314,0.92698,0.83048,0.89324,0.41001,0.22466,1.17121,1.47448,0.00195155,0.00195155,0.00195155
32,379.347,0.20533,1.10523,1.34253,0.91106,0.75701,0.86773,0.37796,0.23561,1.09597,1.53457,0.00194829,0.00194829,0.00194829
33,390.815,0.2085,1.10463,1.34167,0.91541,0.79439,0.88211,0.38238,0.24512,1.0676,1.61212,0.00194493,0.00194493,0.00194493
34,402.311,0.20725,1.08123,1.35693,0.89552,0.80111,0.8744,0.36866,0.24141,1.14328,1.59135,0.00194147,0.00194147,0.00194147
35,413.805,0.20829,1.08685,1.35944,0.72478,0.84112,0.74729,0.31649,0.24702,1.22355,1.57779,0.00193791,0.00193791,0.00193791
36,425.299,0.203,1.13004,1.35231,0.81478,0.84112,0.84071,0.32268,0.23698,1.22803,1.56285,0.00193424,0.00193424,0.00193424
37,436.851,0.18939,0.97933,1.28028,0.77891,0.85981,0.79832,0.32944,0.24855,1.16633,1.61881,0.00193048,0.00193048,0.00193048
38,448.328,0.19905,1.0116,1.32248,0.70502,0.78182,0.68615,0.28318,0.23938,1.20331,1.60495,0.00192661,0.00192661,0.00192661
