epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5957,0.9988,12.7656,4.22816,0,0,0,0,0.98152,8.70951,4.10333,0.000391837,0.000391837,0.000391837
2,41.8965,0.76654,9.17235,3.56189,0.00183,0.57009,0.03569,0.00971,0.7037,6.97585,3.51635,0.000791815,0.000791815,0.000791815
3,61.0103,0.64073,7.70882,3.18071,0.52217,0.56075,0.46157,0.16124,0.61301,5.66482,3.1877,0.00119171,0.00119171,0.00119171
4,79.9137,0.65634,6.97106,3.12079,0.73806,0.57934,0.55332,0.19576,0.64125,5.30153,3.1967,0.00159145,0.00159145,0.00159145
5,98.9055,0.61048,6.49176,2.97494,0.64381,0.63551,0.58605,0.21697,0.55955,4.54159,2.79792,0.00199097,0.00199097,0.00199097
6,117.865,0.5851,6.14112,2.8216,0.6632,0.58879,0.50341,0.17775,0.56968,3.09262,2.81697,0.00199864,0.00199864,0.00199864
7,136.905,0.58342,5.94409,2.79621,0.43356,0.64486,0.42099,0.135,0.56385,2.81203,2.80474,0.00199805,0.00199805,0.00199805
8,155.677,0.57125,5.27837,2.77691,0.76453,0.53271,0.57314,0.21507,0.55108,2.4489,2.72234,0.00199734,0.00199734,0.00199734
9,174.399,0.52978,4.63663,2.60848,0.68022,0.47664,0.50587,0.1799,0.56917,2.68249,2.81453,0.00199653,0.00199653,0.00199653
10,193.199,0.49817,3.9706,2.48722,0.499,0.50467,0.38081,0.1369,0.56793,2.32814,2.87567,0.00199561,0.00199561,0.00199561
11,211.785,0.52304,3.76641,2.61996,0.63193,0.66355,0.57049,0.20691,0.53136,2.20348,2.66071,0.00199458,0.00199458,0.00199458
12,230.186,0.48595,3.43013,2.44491,0.8619,0.61682,0.7096,0.28274,0.50809,2.18243,2.51448,0.00199344,0.00199344,0.00199344
13,248.488,0.48362,3.22852,2.39753,0.69957,0.69642,0.72038,0.24829,0.51632,2.14984,2.51111,0.00199219,0.00199219,0.00199219
14,266.746,0.46185,2.92034,2.31878,0.45306,0.63551,0.45239,0.17064,0.5134,2.43431,2.59978,0.00199084,0.00199084,0.00199084
