epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9387,0.99287,12.9773,4.16674,0,0,0,0,1.01637,8.89365,4.15195,0.000391837,0.000391837,0.000391837
2,42.1135,0.83634,10.224,3.61823,0,0,0,0,0.79086,8.01128,3.72676,0.000791815,0.000791815,0.000791815
3,61.7525,0.67994,7.75275,3.17619,0.70102,0.26168,0.32322,0.11986,0.6205,5.73617,3.08916,0.00119171,0.00119171,0.00119171
4,81.2527,0.65172,6.63751,3.0225,0.63028,0.12756,0.23576,0.0787,0.67787,5.10459,3.33221,0.00159145,0.00159145,0.00159145
5,100.76,0.60532,5.80396,2.86397,0.70548,0.47014,0.60742,0.18854,0.60819,3.0741,2.8719,0.00199097,0.00199097,0.00199097
6,120.263,0.5681,5.31186,2.68437,0.72045,0.51402,0.57236,0.22948,0.59246,2.54913,2.80007,0.00199864,0.00199864,0.00199864
7,139.471,0.5654,4.7754,2.68776,0.73713,0.51402,0.59746,0.208,0.58261,2.29628,2.82966,0.00199805,0.00199805,0.00199805
8,158.608,0.5463,4.26914,2.59941,0.72553,0.63551,0.67267,0.24996,0.56696,2.39948,2.72422,0.00199734,0.00199734,0.00199734
9,177.683,0.53954,3.88244,2.56873,0.65359,0.59954,0.56116,0.18698,0.56686,2.57734,2.75083,0.00199653,0.00199653,0.00199653
10,196.772,0.51476,3.2401,2.51767,0.73186,0.57944,0.60681,0.19287,0.56659,2.25113,2.73775,0.00199561,0.00199561,0.00199561
11,215.87,0.53843,3.21467,2.59214,0.81864,0.69159,0.7153,0.27355,0.5319,1.85414,2.61,0.00199458,0.00199458,0.00199458
12,235.11,0.52185,2.94252,2.53696,0.70574,0.59813,0.65668,0.2259,0.56259,1.70899,2.61665,0.00199344,0.00199344,0.00199344
13,254.269,0.50585,2.7354,2.44165,0.854,0.6729,0.73899,0.3165,0.52558,1.96265,2.51565,0.00199219,0.00199219,0.00199219
14,273.382,0.51231,2.57789,2.45458,0.81473,0.6576,0.73873,0.28239,0.53546,1.71518,2.55692,0.00199084,0.00199084,0.00199084
15,292.532,0.49208,2.32078,2.40277,0.76811,0.69159,0.73064,0.28417,0.53481,1.64007,2.55778,0.00198938,0.00198938,0.00198938
16,311.669,0.49372,2.25843,2.41931,0.79377,0.59813,0.62517,0.21434,0.55583,1.95179,2.84623,0.00198781,0.00198781,0.00198781
17,330.922,0.48956,2.10523,2.38997,0.75001,0.75701,0.72714,0.27885,0.5227,1.584,2.49964,0.00198614,0.00198614,0.00198614
18,350.024,0.47209,2.02797,2.30467,0.74414,0.70093,0.74662,0.29544,0.52416,1.54459,2.47643,0.00198435,0.00198435,0.00198435
19,369.13,0.46828,1.99158,2.2894,0.6873,0.63551,0.64643,0.26084,0.53291,1.58416,2.55194,0.00198246,0.00198246,0.00198246
20,388.27,0.47506,2.01376,2.27043,0.7787,0.82215,0.82881,0.30671,0.50717,1.3658,2.49567,0.00198047,0.00198047,0.00198047
21,407.416,0.45906,1.82492,2.26856,0.60441,0.61682,0.60295,0.22794,0.51419,1.5917,2.46239,0.00197837,0.00197837,0.00197837
22,426.708,0.47348,1.85364,2.27364,0.78664,0.75809,0.78267,0.27184,0.52952,1.45504,2.58885,0.00197616,0.00197616,0.00197616
23,445.882,0.45313,1.68614,2.25868,0.62277,0.70975,0.60059,0.21008,0.53445,1.49722,2.63945,0.00197384,0.00197384,0.00197384
24,465.127,0.47464,1.76185,2.28042,0.80327,0.81308,0.82419,0.31979,0.49743,1.47113,2.45408,0.00197142,0.00197142,0.00197142
25,484.423,0.4503,1.65492,2.20633,0.7731,0.74766,0.76224,0.30367,0.5112,1.46536,2.53392,0.0019689,0.0019689,0.0019689
26,503.566,0.44757,1.64963,2.18152,0.81033,0.83178,0.8547,0.3389,0.49199,1.44571,2.40945,0.00196627,0.00196627,0.00196627
27,522.792,0.45009,1.60602,2.20362,0.83384,0.7757,0.83777,0.34046,0.49895,1.38603,2.39827,0.00196353,0.00196353,0.00196353
28,541.915,0.4402,1.60735,2.17078,0.63228,0.72897,0.64959,0.26076,0.51566,1.38784,2.57654,0.00196069,0.00196069,0.00196069
29,561.049,0.43602,1.52919,2.1777,0.65813,0.73766,0.67718,0.2536,0.51283,1.39778,2.48815,0.00195775,0.00195775,0.00195775
30,580.233,0.46041,1.55051,2.22552,0.74778,0.74813,0.76487,0.29776,0.52145,1.31721,2.63612,0.0019547,0.0019547,0.0019547
31,599.4,0.43735,1.50666,2.16111,0.9208,0.83178,0.89583,0.36116,0.49421,1.28766,2.37928,0.00195155,0.00195155,0.00195155
32,618.512,0.46006,1.53858,2.20158,0.8188,0.73832,0.79088,0.35096,0.50999,1.50837,2.44214,0.00194829,0.00194829,0.00194829
33,637.636,0.4275,1.52867,2.13773,0.66094,0.73832,0.698,0.27548,0.51232,1.29875,2.5561,0.00194493,0.00194493,0.00194493
34,656.809,0.43096,1.45244,2.13675,0.72907,0.76636,0.74781,0.31434,0.49239,1.35781,2.4854,0.00194147,0.00194147,0.00194147
35,675.939,0.43136,1.49615,2.11753,0.75936,0.7757,0.78268,0.32021,0.49663,1.36012,2.45267,0.00193791,0.00193791,0.00193791
36,695.259,0.44633,1.47362,2.16452,0.70835,0.79447,0.75581,0.30848,0.48466,1.5145,2.36038,0.00193424,0.00193424,0.00193424
37,714.485,0.42534,1.37388,2.1313,0.83718,0.75701,0.79443,0.32517,0.5091,1.4882,2.4017,0.00193048,0.00193048,0.00193048
38,733.646,0.42881,1.37966,2.09983,0.84388,0.81308,0.816,0.32914,0.51592,1.29775,2.44693,0.00192661,0.00192661,0.00192661
39,752.783,0.42372,1.32539,2.11152,0.70624,0.78643,0.74145,0.31513,0.49559,1.24493,2.40869,0.00192264,0.00192264,0.00192264
40,772.087,0.41492,1.33331,2.0524,0.81328,0.75701,0.784,0.29523,0.50558,1.36199,2.48709,0.00191858,0.00191858,0.00191858
41,791.452,0.41944,1.3799,2.0694,0.84019,0.81308,0.88344,0.36657,0.47948,1.28798,2.32022,0.00191441,0.00191441,0.00191441
42,810.673,0.42769,1.34162,2.10824,0.73657,0.84112,0.79045,0.29817,0.50604,1.2677,2.41391,0.00191014,0.00191014,0.00191014
43,829.845,0.41056,1.28859,2.07072,0.82959,0.78505,0.81317,0.31917,0.50644,1.21937,2.54745,0.00190578,0.00190578,0.00190578
44,849.041,0.42757,1.36339,2.12492,0.86674,0.79026,0.84427,0.31921,0.5135,1.2765,2.51827,0.00190132,0.00190132,0.00190132
45,868.224,0.41545,1.39277,2.0793,0.85274,0.82243,0.87671,0.34847,0.48429,1.27531,2.40583,0.00189675,0.00189675,0.00189675
46,887.389,0.41594,1.27522,2.06524,0.75582,0.81001,0.76139,0.32516,0.46847,1.25219,2.34842,0.0018921,0.0018921,0.0018921
47,906.578,0.40015,1.3168,2.0411,0.76477,0.85078,0.7866,0.30635,0.49187,1.2457,2.49002,0.00188734,0.00188734,0.00188734
48,925.788,0.41242,1.23607,2.04618,0.69351,0.78505,0.74091,0.29243,0.50796,1.29646,2.43187,0.00188249,0.00188249,0.00188249
49,944.975,0.40845,1.26173,2.01526,0.89873,0.80374,0.85758,0.36124,0.50952,1.26274,2.38153,0.00187754,0.00187754,0.00187754
50,964.12,0.40307,1.27981,2.03881,0.87079,0.81884,0.85182,0.38537,0.48363,1.31158,2.44916,0.0018725,0.0018725,0.0018725
51,983.212,0.41523,1.27486,2.06491,0.85388,0.76462,0.76785,0.34967,0.48685,1.28221,2.44308,0.00186737,0.00186737,0.00186737
52,1002.37,0.42371,1.27314,2.08658,0.86841,0.82243,0.88341,0.36556,0.50483,1.29853,2.34635,0.00186213,0.00186213,0.00186213
53,1021.65,0.41054,1.23751,2.02657,0.70017,0.81308,0.76295,0.31377,0.48973,1.24189,2.4443,0.00185681,0.00185681,0.00185681
54,1040.85,0.39358,1.24275,1.95879,0.76059,0.84112,0.79279,0.33144,0.48331,1.18796,2.39573,0.00185139,0.00185139,0.00185139
55,1059.9,0.39311,1.21662,1.99719,0.70274,0.81308,0.74003,0.3167,0.47203,1.27288,2.3515,0.00184588,0.00184588,0.00184588
56,1079.04,0.4136,1.27708,2.07402,0.86691,0.85225,0.86068,0.35788,0.50001,1.17278,2.52357,0.00184028,0.00184028,0.00184028
57,1098.09,0.40342,1.22822,2.04651,0.43181,0.84112,0.41614,0.16745,0.49122,2.91604,2.46366,0.00183459,0.00183459,0.00183459
58,1117.2,0.39499,1.20365,2.01198,0.18071,0.82243,0.17147,0.07357,0.49642,15.9549,2.45607,0.00182881,0.00182881,0.00182881
59,1136.25,0.40463,1.20918,2.01003,0.72592,0.81308,0.78518,0.29787,0.49841,1.18997,2.5444,0.00182294,0.00182294,0.00182294
60,1155.26,0.38182,1.16641,1.94704,0.7004,0.80374,0.74513,0.3018,0.49096,1.25439,2.37207,0.00181698,0.00181698,0.00181698
61,1174.38,0.39715,1.1578,1.99125,0.83972,0.80374,0.81132,0.35274,0.49652,1.2301,2.38192,0.00181093,0.00181093,0.00181093
62,1193.71,0.40875,1.19608,2.03832,0.90048,0.82243,0.89067,0.36455,0.49518,1.20867,2.35955,0.00180479,0.00180479,0.00180479
63,1212.96,0.40503,1.24253,2.01667,0.76264,0.87085,0.84663,0.35524,0.49129,1.25017,2.37867,0.00179856,0.00179856,0.00179856
64,1232.17,0.39201,1.15869,1.9663,0.81652,0.88785,0.84897,0.35316,0.48635,1.14341,2.33124,0.00179225,0.00179225,0.00179225
65,1251.25,0.37944,1.14139,1.92763,0.79201,0.91589,0.84177,0.34579,0.49221,1.13802,2.3419,0.00178586,0.00178586,0.00178586
66,1270.49,0.40509,1.17333,2.01295,0.61885,0.83178,0.57526,0.23723,0.49819,1.6202,2.48807,0.00177937,0.00177937,0.00177937
67,1289.63,0.38703,1.18082,1.96187,0.82368,0.84112,0.85901,0.36079,0.48643,1.20937,2.41857,0.00177281,0.00177281,0.00177281
68,1308.94,0.38617,1.1395,1.95765,0.85914,0.85047,0.86702,0.36936,0.48462,1.14282,2.48187,0.00176616,0.00176616,0.00176616
69,1328.12,0.37197,1.08047,1.93584,0.73346,0.87443,0.85065,0.34358,0.47667,1.20685,2.41824,0.00175943,0.00175943,0.00175943
70,1347.23,0.38285,1.08988,1.92644,0.83362,0.83178,0.81994,0.37271,0.47772,1.2826,2.32187,0.00175261,0.00175261,0.00175261
71,1366.27,0.38499,1.13345,1.95215,0.8578,0.82243,0.85248,0.33014,0.51373,1.16874,2.54997,0.00174571,0.00174571,0.00174571
72,1385.36,0.39909,1.10817,2.01263,0.89957,0.82243,0.86828,0.38568,0.49503,1.14768,2.3805,0.00173874,0.00173874,0.00173874
73,1404.49,0.40172,1.152,1.9873,0.78803,0.90337,0.8858,0.37515,0.4888,1.17242,2.34391,0.00173168,0.00173168,0.00173168
74,1423.45,0.36599,1.10948,1.89518,0.78255,0.8785,0.82977,0.34362,0.47556,1.16788,2.35908,0.00172454,0.00172454,0.00172454
75,1442.35,0.37396,1.13794,1.88486,0.8527,0.81154,0.85621,0.36277,0.47529,1.22863,2.39028,0.00171733,0.00171733,0.00171733
76,1461.32,0.36534,1.05718,1.87782,0.83425,0.84672,0.82386,0.35506,0.50454,1.10876,2.46881,0.00171004,0.00171004,0.00171004
